Aisle,Rack,Level,Location ID,Location Status,Open Location,Building ID,Zone ID
07,02,AF,6557,OPEN,1,01,West
01,10,A3,6570,INUSE,0,01,West
05,21,A4,6571,INUSE,0,01,West
02,27,B4,6572,OPEN,1,01,West
04,01,A2,6573,OPEN,1,01,West
06,02,D3,6574,OPEN,1,01,West
06,04,B4,6575,OPEN,1,01,West
02,09,C1,15504,INUSE,0,01,West
01,19,D3,15505,INUSE,0,01,West
02,30,E1,15506,INUSE,0,01,West
02,34,E1,15507,INUSE,0,01,West
02,07,D4,15508,INUSE,0,01,West
04,14,D2,15509,INUSE,0,01,West
04,03,A1,15510,INUSE,0,01,West
02,35,D1,15511,INUSE,0,01,West
05,11,C3,15513,INUSE,0,01,West
02,04,C1,15514,INUSE,0,01,West
05,07,B3,15515,INUSE,0,01,West
03,01,D4,15516,INUSE,0,01,West
01,17,C4,15517,INUSE,0,01,West
03,01,B3,15518,INUSE,0,01,West
